Highball,ColourPop,Lipstick,225,80,125,$6.00,https://colourpop.com/product/highball/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Highball-600x600.jpg
Mars,ColourPop,Lipstick,219,63,108,$6.00,https://colourpop.com/product/mars/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Mars-600x600.jpg
Ouiji,ColourPop,Lipstick,230,84,90,$6.00,https://colourpop.com/product/ouiji/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Ouiji-600x600.jpg
Instigator,ColourPop,Lipstick,200,132,105,$6.00,https://colourpop.com/product/instigator/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/09/investigator-1024x1024.jpg
Pacific,ColourPop,Lipstick,245,98,76,$6.00,https://colourpop.com/product/pacific/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Pacific-600x600.jpg
First Class,ColourPop,Lipstick,221,91,52,$6.00,https://colourpop.com/product/first-class/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/09/first-class-1024x1024.jpg
Succulent,ColourPop,Lipstick,233,65,53,$6.00,https://colourpop.com/product/succulent/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Succulent-600x600.jpg
Creeper,ColourPop,Lipstick,216,58,61,$6.00,https://colourpop.com/product/creeper/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Creeper-600x600.jpg
Avenue,ColourPop,Lipstick,147,53,60,$6.00,https://colourpop.com/product/avenue/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Avenue-600x600.jpg
LAX,ColourPop,Lipstick,108,41,42,$6.00,https://colourpop.com/product/lax/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-LAX-600x600.jpg
Zipper,ColourPop,Lipstick,147,78,124,$6.00,https://colourpop.com/product/zipper/,https://21xbqp47bhl33rua4p23hlhl-wpengine.netdna-ssl.com/wp-content/uploads/2015/06/Ultra-Matte-Lip-Zipper-600x600.jpg
